"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CAP_C50-024X044";"C050-024X044";"C6";"";"";
"1";"";"DIODE-SH_SOD523";"SOD523";"D4";"";"";
"2";"";"DIODE_ES1J";"DO214AC";"D2, D3";"";"";
"1";"";"OP-AMP-4LMV324IPT";"TSSOP14";"OP1";"";"";
"1";"";"OPTOTRANSPC817";"DIL04";"OK1";"SHARP OPTO COUPLER";"";
"4";"";"PINHD-1X2";"1X02";"JP2, JP3, JP4, JP5";"PIN HEADER";"";
"1";"";"PINHD-1X8";"1X08";"JP1";"PIN HEADER";"";
"1";"";"RECTIFIERSOIC-8";"SOIC-4";"B1";"DIOTEC RECTIFIER";"";
"9";"";"R_1206";"R1206";"R30, R31, R32, R33, R34, R35, R36, R37, R38";"";"";
"1";"";"SUPRESSORDO-204AC";"DO15-12";"D1";"";"";
"5";"0u1";"CAP_0805";"C0805";"C2, C5, C7, C8, C9";"";"";
"2";"1000u 10V";"CAP-POL_E5-10.5";"E5-10,5";"C3, C4";"";"";
"1";"10K";"R_POTTURN-X";"RJ9W";"R21";"";"";
"1";"120R";"R_0805";"R0805";"R8";"";"";
"8";"12K";"R_0805";"R0805";"R22, R23, R24, R25, R26, R27, R28, R29";"";"";
"2";"1K";"R_0805";"R0805";"R5, R6";"";"";
"8";"1K5";"R_0805";"R0805";"R9, R10, R11, R12, R13, R14, R15, R16";"";"";
"4";"1M2";"R_0805";"R0805";"R1, R2, R3, R4";"";"";
"4";"200R";"R_0805";"R0805";"R17, R18, R19, R20";"";"";
"1";"2u7 400V";"CAP-POL_E5-10.5";"E5-10,5";"C1";"";"";
"1";"3K";"R_0805";"R0805";"R7";"";"";
"1";"CON-5.08-03P";"CON-5.08-03P";"MKDSN1,5/3-5,08";"X1";"MKDSN 1,5/ 3-5,08 Printklemme";"";
"1";"IC-TL431DBV";"IC-TL431DBV";"SOT23-5L";"TL1";"";"";
"1";"POWER-TNY264PN";"POWER-TNY264PN";"DIP-8B";"IC1";"";"";
"1";"STM-SWIMPINS";"STM-SWIMPINS";"1X04/90";"X2";"";"";
"1";"STM8L151X4/6G6U6";"STM8L151X4/6G6U6";"QFN28";"IC2";"";"";
"1";"TRANS-1/1EFD20";"TRANS-1/1EFD20";"EFD20_8PIN";"T1";"";"";
